Window,Region,Context,Leaf1_methy,Leaf2_methy,Leaf3_methy,group
49,Upstream,CG,0.874196928,0.880211926,0.896982114,Genome
50,Upstream,CG,0.871145495,0.877858687,0.893178009,Genome
51,Upstream,CG,0.875031686,0.881835482,0.896997404,Genome
52,Upstream,CG,0.877708238,0.884745166,0.89931915,Genome
53,Upstream,CG,0.880454774,0.886786203,0.902427205,Genome
54,Upstream,CG,0.878147931,0.885371288,0.900974087,Genome
55,Upstream,CG,0.878200559,0.885905036,0.899832088,Genome
56,Upstream,CG,0.874613021,0.881832874,0.897946923,Genome
57,Upstream,CG,0.871634525,0.879013854,0.895314574,Genome
58,Upstream,CG,0.880080206,0.88728019,0.90140695,Genome
59,Upstream,CG,0.875462674,0.882176236,0.898511876,Genome
60,Upstream,CG,0.87386593,0.880773142,0.896915273,Genome
61,Upstream,CG,0.875484106,0.882490301,0.898410863,Genome
62,Upstream,CG,0.875328775,0.881579712,0.897870573,Genome
63,Upstream,CG,0.876900174,0.882749053,0.898534699,Genome
64,Upstream,CG,0.881086918,0.889110074,0.902565535,Genome
65,Upstream,CG,0.87229975,0.878397582,0.894495558,Genome
66,Upstream,CG,0.871054499,0.87603722,0.893455558,Genome
67,Upstream,CG,0.870658458,0.875794354,0.893634046,Genome
68,Upstream,CG,0.871053524,0.878073988,0.894703419,Genome
69,Upstream,CG,0.87358079,0.879657897,0.898141004,Genome
70,Upstream,CG,0.881001887,0.886425613,0.903319818,Genome
71,Upstream,CG,0.881090919,0.887218546,0.903780624,Genome
72,Upstream,CG,0.874974033,0.880615175,0.897213642,Genome
73,Upstream,CG,0.873149801,0.881124197,0.896524797,Genome
74,Upstream,CG,0.870234923,0.877085765,0.893579273,Genome
75,Upstream,CG,0.873305711,0.880505059,0.896086525,Genome
76,Upstream,CG,0.878263057,0.883363584,0.899341564,Genome
77,Upstream,CG,0.876488854,0.883425982,0.899217655,Genome
78,Upstream,CG,0.872168431,0.879638479,0.895479952,Genome
79,Upstream,CG,0.876805081,0.882536476,0.897795775,Genome
80,Upstream,CG,0.873327998,0.879337307,0.895351142,Genome
81,Upstream,CG,0.875965626,0.882698352,0.898045332,Genome
82,Upstream,CG,0.87330641,0.879091341,0.894612663,Genome
83,Upstream,CG,0.871342949,0.875478692,0.892735801,Genome
84,Upstream,CG,0.870359988,0.875235214,0.891266961,Genome
85,Upstream,CG,0.876008253,0.884616612,0.899313551,Genome
86,Upstream,CG,0.879693515,0.885671536,0.900489159,Genome
87,Upstream,CG,0.875119277,0.881405505,0.897580688,Genome
88,Upstream,CG,0.871354403,0.877381208,0.893870759,Genome
89,Upstream,CG,0.873934619,0.88071439,0.895772866,Genome
90,Upstream,CG,0.874312346,0.880319334,0.897467223,Genome
91,Upstream,CG,0.875660462,0.881322021,0.897429643,Genome
92,Upstream,CG,0.873384124,0.880503463,0.896053822,Genome
93,Upstream,CG,0.876165892,0.881849328,0.89752431,Genome
94,Upstream,CG,0.870399328,0.874942409,0.894746669,Genome
95,Upstream,CG,0.878557086,0.885180043,0.901310578,Genome
96,Upstream,CG,0.871859554,0.879472165,0.895496771,Genome
97,Upstream,CG,0.875243742,0.880923833,0.897834803,Genome
98,Upstream,CG,0.874385699,0.881653581,0.897600148,Genome
99,Upstream,CG,0.874929889,0.883340341,0.898878432,Genome
100,Upstream,CG,0.87865403,0.88976881,0.902522452,Genome
101,Body,CG,0.886588378,0.900706616,0.91219373,Genome
102,Body,CG,0.876944347,0.887658633,0.899849173,Genome
103,Body,CG,0.884054547,0.897001888,0.90859848,Genome
104,Body,CG,0.879088821,0.890507255,0.903516605,Genome
105,Body,CG,0.887774614,0.901117076,0.912598443,Genome
106,Body,CG,0.887761782,0.89809879,0.911558312,Genome
107,Body,CG,0.885152346,0.895079018,0.908702622,Genome
108,Body,CG,0.88296877,0.894557987,0.908446381,Genome
109,Body,CG,0.888039264,0.900601557,0.914063984,Genome
110,Body,CG,0.883282492,0.893552608,0.90191856,Genome
111,Body,CG,0.877226326,0.88825033,0.901289534,Genome
112,Body,CG,0.885511216,0.893066349,0.908023355,Genome
113,Body,CG,0.876215134,0.887120233,0.896060066,Genome
114,Body,CG,0.876999939,0.887920301,0.90023152,Genome
115,Body,CG,0.881443644,0.891148219,0.901002672,Genome
116,Body,CG,0.88175093,0.89669269,0.905582643,Genome
117,Body,CG,0.885060202,0.895052098,0.9084946,Genome
118,Body,CG,0.886875995,0.898504456,0.909111064,Genome
119,Body,CG,0.887024851,0.897489348,0.907925208,Genome
120,Body,CG,0.888158085,0.899821963,0.911143811,Genome
121,Downstream,CG,0.87833634,0.887002421,0.901634072,Genome
122,Downstream,CG,0.872455693,0.880894711,0.895432246,Genome
123,Downstream,CG,0.877428326,0.883756961,0.899221555,Genome
124,Downstream,CG,0.877014904,0.884291419,0.899369105,Genome
125,Downstream,CG,0.872596028,0.879142631,0.894936333,Genome
126,Downstream,CG,0.877050354,0.884246359,0.898964008,Genome
127,Downstream,CG,0.87631137,0.883222866,0.898190327,Genome
128,Downstream,CG,0.878926238,0.886684732,0.900822014,Genome
129,Downstream,CG,0.872319899,0.878717948,0.896407885,Genome
130,Downstream,CG,0.878843117,0.886126128,0.901279218,Genome
131,Downstream,CG,0.874798653,0.882551299,0.896608726,Genome
132,Downstream,CG,0.878201202,0.885164378,0.901481651,Genome
133,Downstream,CG,0.868517473,0.875314428,0.890741633,Genome
134,Downstream,CG,0.876320658,0.883482506,0.899468397,Genome
135,Downstream,CG,0.873308063,0.879077454,0.895572196,Genome
136,Downstream,CG,0.878205143,0.885189372,0.900941756,Genome
137,Downstream,CG,0.876079508,0.884233533,0.89972745,Genome
138,Downstream,CG,0.874411532,0.880468854,0.89671163,Genome
139,Downstream,CG,0.870685264,0.877396029,0.894784453,Genome
140,Downstream,CG,0.875266116,0.882467257,0.898315964,Genome
141,Downstream,CG,0.877345146,0.884010208,0.899961479,Genome
142,Downstream,CG,0.87372957,0.88047319,0.896638139,Genome
143,Downstream,CG,0.880605342,0.886384601,0.902154019,Genome
144,Downstream,CG,0.877843028,0.88644009,0.900722685,Genome
145,Downstream,CG,0.879467069,0.886334955,0.901892903,Genome
146,Downstream,CG,0.875059997,0.881840158,0.897851309,Genome
147,Downstream,CG,0.876807405,0.88487585,0.899694921,Genome
148,Downstream,CG,0.873320386,0.880172985,0.897619354,Genome
149,Downstream,CG,0.870105656,0.876698777,0.893135898,Genome
150,Downstream,CG,0.873712649,0.880779489,0.897186249,Genome
151,Downstream,CG,0.87385097,0.879666488,0.896363945,Genome
152,Downstream,CG,0.873422595,0.88069562,0.895759175,Genome
153,Downstream,CG,0.872627006,0.879077423,0.896839757,Genome
154,Downstream,CG,0.872814728,0.87945932,0.895785691,Genome
155,Downstream,CG,0.877618188,0.88319092,0.89962701,Genome
156,Downstream,CG,0.875965499,0.881381258,0.899397002,Genome
157,Downstream,CG,0.877657234,0.882810072,0.899050427,Genome
158,Downstream,CG,0.876049794,0.882778118,0.899111967,Genome
159,Downstream,CG,0.874717462,0.880016075,0.897202252,Genome
160,Downstream,CG,0.877434316,0.883144402,0.898200726,Genome
161,Downstream,CG,0.877579307,0.883371073,0.899017107,Genome
162,Downstream,CG,0.876171067,0.880046509,0.897116033,Genome
163,Downstream,CG,0.870863825,0.878407265,0.895648003,Genome
164,Downstream,CG,0.874186285,0.880820291,0.896891754,Genome
165,Downstream,CG,0.874237724,0.881099365,0.89770261,Genome
166,Downstream,CG,0.873239367,0.879996723,0.896443267,Genome
167,Downstream,CG,0.875006956,0.881861622,0.897937933,Genome
168,Downstream,CG,0.874092779,0.880420557,0.894927368,Genome
169,Downstream,CG,0.872779341,0.878222531,0.894688195,Genome
170,Downstream,CG,0.87079137,0.877821386,0.8933041,Genome
171,Downstream,CG,0.877775631,0.884392933,0.898461957,Genome
172,Downstream,CG,0.876070606,0.88337962,0.899221666,Genome
173,Downstream,CG,0.876840372,0.883927999,0.898521427,Genome
174,Downstream,CG,0.871929031,0.878433714,0.894101292,Genome
175,Downstream,CG,0.874012904,0.881295445,0.896818884,Genome
176,Downstream,CG,0.874686504,0.884560361,0.897687871,Genome
177,Downstream,CG,0.875376894,0.881696863,0.897371783,Genome
178,Downstream,CG,0.87460554,0.880202308,0.897267091,Genome
179,Downstream,CG,0.87415248,0.881433534,0.89700803,Genome
180,Downstream,CG,0.865430307,0.872667006,0.889300528,Genome
181,Downstream,CG,0.87434578,0.881044229,0.896944612,Genome
182,Downstream,CG,0.872604049,0.87935103,0.896457269,Genome
183,Downstream,CG,0.874535955,0.881767212,0.896830536,Genome
184,Downstream,CG,0.876102163,0.883925983,0.898846526,Genome
185,Downstream,CG,0.873867827,0.880757037,0.896588178,Genome
186,Downstream,CG,0.873903666,0.8796811,0.896166104,Genome
187,Downstream,CG,0.873346485,0.880643768,0.896497732,Genome
188,Downstream,CG,0.876190129,0.882154304,0.898257994,Genome
189,Downstream,CG,0.874192194,0.88036016,0.896593428,Genome
190,Downstream,CG,0.872054129,0.879864589,0.895027848,Genome
191,Downstream,CG,0.876293621,0.882780959,0.897228396,Genome
192,Downstream,CG,0.874075627,0.880464212,0.896062626,Genome
193,Downstream,CG,0.87611229,0.883915102,0.897892756,Genome
194,Downstream,CG,0.871609566,0.877689674,0.893649852,Genome
195,Downstream,CG,0.874620647,0.880367312,0.897028808,Genome
196,Downstream,CG,0.875697345,0.883037721,0.898912602,Genome
197,Downstream,CG,0.875145734,0.882748125,0.89797581,Genome
198,Downstream,CG,0.880185946,0.888567394,0.902280963,Genome
199,Downstream,CG,0.873416174,0.880809836,0.897304206,Genome
200,Downstream,CG,0.873343877,0.879838266,0.894030916,Genome
201,Downstream,CG,0.876160895,0.883640704,0.898525258,Genome
202,Downstream,CG,0.87597532,0.883441497,0.900018686,Genome
203,Downstream,CG,0.877662745,0.885590518,0.900378766,Genome
204,Downstream,CG,0.878887539,0.884628002,0.901318999,Genome
205,Downstream,CG,0.873250276,0.880794318,0.896266636,Genome
206,Downstream,CG,0.875322702,0.885023214,0.8992177,Genome
207,Downstream,CG,0.874620548,0.883432678,0.898586296,Genome
208,Downstream,CG,0.878691462,0.885231651,0.902782865,Genome
209,Downstream,CG,0.872724594,0.879692573,0.896103591,Genome
210,Downstream,CG,0.871902036,0.879132427,0.895629156,Genome
211,Downstream,CG,0.876813454,0.883548589,0.899876232,Genome
212,Downstream,CG,0.872242155,0.880393824,0.897271699,Genome
213,Downstream,CG,0.874810423,0.884373694,0.899328329,Genome
214,Downstream,CG,0.878835275,0.888116648,0.901672426,Genome
215,Downstream,CG,0.875873371,0.883810562,0.89837432,Genome
216,Downstream,CG,0.878289298,0.887685933,0.90104707,Genome
217,Downstream,CG,0.875858924,0.884096213,0.89867242,Genome
218,Downstream,CG,0.882906579,0.892091309,0.906862921,Genome
219,Downstream,CG,0.883218092,0.894097536,0.906478193,Genome
220,Downstream,CG,0.884385897,0.898828518,0.908323774,Genome
1,Upstream,CHG,0.659845169,0.673748558,0.673449306,Genome
2,Upstream,CHG,0.653554681,0.663522037,0.665643083,Genome
3,Upstream,CHG,0.657776441,0.667079724,0.6703789,Genome
4,Upstream,CHG,0.672726951,0.682490759,0.68287982,Genome
5,Upstream,CHG,0.649194442,0.656503371,0.660107203,Genome
6,Upstream,CHG,0.654067459,0.662704781,0.665806088,Genome
7,Upstream,CHG,0.651434308,0.658889843,0.660974478,Genome
8,Upstream,CHG,0.656045082,0.663557019,0.668420211,Genome
9,Upstream,CHG,0.654149528,0.660631468,0.664745504,Genome
10,Upstream,CHG,0.660449607,0.668181639,0.67187591,Genome
11,Upstream,CHG,0.653624159,0.659931293,0.663840215,Genome
12,Upstream,CHG,0.653459448,0.662423049,0.667322696,Genome
13,Upstream,CHG,0.664522387,0.672652096,0.675069515,Genome
14,Upstream,CHG,0.658545362,0.664152081,0.668535441,Genome
15,Upstream,CHG,0.651127312,0.658690469,0.663627807,Genome
16,Upstream,CHG,0.655791643,0.663125733,0.666353695,Genome
17,Upstream,CHG,0.660948308,0.668323519,0.670964194,Genome
18,Upstream,CHG,0.655678334,0.66312807,0.667155331,Genome
19,Upstream,CHG,0.653089855,0.659902508,0.663458947,Genome
20,Upstream,CHG,0.649740377,0.656333656,0.660409377,Genome
21,Upstream,CHG,0.659405217,0.664024932,0.667499695,Genome
22,Upstream,CHG,0.651818129,0.659621157,0.664061155,Genome
23,Upstream,CHG,0.649965898,0.655908881,0.660382981,Genome
24,Upstream,CHG,0.651609046,0.658930428,0.662003906,Genome
25,Upstream,CHG,0.648219049,0.655156903,0.659456809,Genome
26,Upstream,CHG,0.650022309,0.657205561,0.660025814,Genome
27,Upstream,CHG,0.648437582,0.657485193,0.66040841,Genome
28,Upstream,CHG,0.669596476,0.679371341,0.679841548,Genome
29,Upstream,CHG,0.657854419,0.666620322,0.669484831,Genome
30,Upstream,CHG,0.665785142,0.673377045,0.676513965,Genome
31,Upstream,CHG,0.657107253,0.664412062,0.666997042,Genome
32,Upstream,CHG,0.656144633,0.663645995,0.665126467,Genome
33,Upstream,CHG,0.655889222,0.663199739,0.666459608,Genome
34,Upstream,CHG,0.647227858,0.655191445,0.660303202,Genome
35,Upstream,CHG,0.657064319,0.663137931,0.667632594,Genome
36,Upstream,CHG,0.648143111,0.653547423,0.657497062,Genome
37,Upstream,CHG,0.644446723,0.649339029,0.65556294,Genome
38,Upstream,CHG,0.655305471,0.661316252,0.664185364,Genome
39,Upstream,CHG,0.65886459,0.667895714,0.669353733,Genome
40,Upstream,CHG,0.664333848,0.670696043,0.673743494,Genome
41,Upstream,CHG,0.65418281,0.661506808,0.664419169,Genome
42,Upstream,CHG,0.653544511,0.661176843,0.664671798,Genome
43,Upstream,CHG,0.656153379,0.662749125,0.666313069,Genome
44,Upstream,CHG,0.651775269,0.657397866,0.661883471,Genome
45,Upstream,CHG,0.640216169,0.644070202,0.650206493,Genome
46,Upstream,CHG,0.64259742,0.648551118,0.653079406,Genome
47,Upstream,CHG,0.642071693,0.644320836,0.652018846,Genome
48,Upstream,CHG,0.642944563,0.648217187,0.65363624,Genome
49,Upstream,CHG,0.63786478,0.642428723,0.6494604,Genome
50,Upstream,CHG,0.650676817,0.657083204,0.660496295,Genome
51,Upstream,CHG,0.655622095,0.662314541,0.665058694,Genome
52,Upstream,CHG,0.648165728,0.654329388,0.657740592,Genome
53,Upstream,CHG,0.647994898,0.654390955,0.658223899,Genome
54,Upstream,CHG,0.656897447,0.663258634,0.664983281,Genome
55,Upstream,CHG,0.652922099,0.659958432,0.663098546,Genome
56,Upstream,CHG,0.652442644,0.658963729,0.66348301,Genome
57,Upstream,CHG,0.640878291,0.646332099,0.651906912,Genome
58,Upstream,CHG,0.660125777,0.666418339,0.669953351,Genome
59,Upstream,CHG,0.656012673,0.662064475,0.66474095,Genome
60,Upstream,CHG,0.639047122,0.644087973,0.649877021,Genome
61,Upstream,CHG,0.639474172,0.64281282,0.650875921,Genome
62,Upstream,CHG,0.649392235,0.654066946,0.660696715,Genome
63,Upstream,CHG,0.658362929,0.66378003,0.667571275,Genome
64,Upstream,CHG,0.656288921,0.66292726,0.666085142,Genome
65,Upstream,CHG,0.649241143,0.655065338,0.659409065,Genome
66,Upstream,CHG,0.655898665,0.661060333,0.666153186,Genome
67,Upstream,CHG,0.650160411,0.654212154,0.66059099,Genome
68,Upstream,CHG,0.643892455,0.651587376,0.655777322,Genome
69,Upstream,CHG,0.650019072,0.655170339,0.661230528,Genome
70,Upstream,CHG,0.639650734,0.645104348,0.651347719,Genome
71,Upstream,CHG,0.653678339,0.65998557,0.663902085,Genome
72,Upstream,CHG,0.655859046,0.660046311,0.6652791,Genome
73,Upstream,CHG,0.638809562,0.644522243,0.650790603,Genome
74,Upstream,CHG,0.644900543,0.650325668,0.655612667,Genome
75,Upstream,CHG,0.650418101,0.655908861,0.660256331,Genome
76,Upstream,CHG,0.649563776,0.655078318,0.659729534,Genome
77,Upstream,CHG,0.648579538,0.653048884,0.657854897,Genome
78,Upstream,CHG,0.636721172,0.643548069,0.649494101,Genome
79,Upstream,CHG,0.648041126,0.653304576,0.657320262,Genome
80,Upstream,CHG,0.658004077,0.662921253,0.667735665,Genome
81,Upstream,CHG,0.654019404,0.660495025,0.664685282,Genome
82,Upstream,CHG,0.652972304,0.658730421,0.661808328,Genome
83,Upstream,CHG,0.64685337,0.651135529,0.658093329,Genome
84,Upstream,CHG,0.652172351,0.658507889,0.66144583,Genome
85,Upstream,CHG,0.654042564,0.660878176,0.66408817,Genome
86,Upstream,CHG,0.65158094,0.657596505,0.661903696,Genome
87,Upstream,CHG,0.651628373,0.656845228,0.662842364,Genome
88,Upstream,CHG,0.639403429,0.643813314,0.648992999,Genome
89,Upstream,CHG,0.655061892,0.660822806,0.664104058,Genome
90,Upstream,CHG,0.649732834,0.655897901,0.661582847,Genome
91,Upstream,CHG,0.644668747,0.649532655,0.652938077,Genome
92,Upstream,CHG,0.657276158,0.664104377,0.666189495,Genome
93,Upstream,CHG,0.646951096,0.651574142,0.657402291,Genome
94,Upstream,CHG,0.648998665,0.653351082,0.65977898,Genome
95,Upstream,CHG,0.648655197,0.653282177,0.657962076,Genome
96,Upstream,CHG,0.646503555,0.653087562,0.657076672,Genome
97,Upstream,CHG,0.65202126,0.657445461,0.662404347,Genome
98,Upstream,CHG,0.650044895,0.65704456,0.660544693,Genome
99,Upstream,CHG,0.648178461,0.655001663,0.659357131,Genome
100,Upstream,CHG,0.66992229,0.678976671,0.679470447,Genome
101,Body,CHG,0.688309963,0.703309157,0.698732429,Genome
102,Body,CHG,0.676765872,0.686558272,0.686026408,Genome
103,Body,CHG,0.674468245,0.687694297,0.685054071,Genome
104,Body,CHG,0.674964817,0.685670122,0.686206606,Genome
105,Body,CHG,0.672494769,0.685231192,0.684361625,Genome
106,Body,CHG,0.686075349,0.695238839,0.69483226,Genome
107,Body,CHG,0.689960361,0.70141294,0.700487005,Genome
108,Body,CHG,0.69067859,0.700970776,0.700124628,Genome
109,Body,CHG,0.687851654,0.700626518,0.696436295,Genome
110,Body,CHG,0.685698679,0.697795065,0.692014601,Genome
111,Body,CHG,0.688018942,0.695673154,0.693530633,Genome
112,Body,CHG,0.689480853,0.702787158,0.700489636,Genome
113,Body,CHG,0.677564976,0.684912049,0.682422317,Genome
114,Body,CHG,0.686158704,0.69910002,0.696535405,Genome
115,Body,CHG,0.68609241,0.698163852,0.695044271,Genome
116,Body,CHG,0.683279558,0.697763375,0.691145287,Genome
117,Body,CHG,0.685564098,0.698028543,0.692850969,Genome
118,Body,CHG,0.687713607,0.698437603,0.699936603,Genome
119,Body,CHG,0.688087291,0.699634235,0.695777056,Genome
120,Body,CHG,0.684419927,0.693800642,0.692619638,Genome
121,Downstream,CHG,0.667628567,0.676368492,0.676723954,Genome
122,Downstream,CHG,0.654488384,0.660951048,0.665089641,Genome
123,Downstream,CHG,0.655542753,0.661884128,0.667668581,Genome
124,Downstream,CHG,0.649633368,0.657098916,0.660157472,Genome
125,Downstream,CHG,0.642571837,0.648431713,0.652296483,Genome
126,Downstream,CHG,0.650522254,0.657473677,0.660704793,Genome
127,Downstream,CHG,0.650452313,0.65719293,0.660770312,Genome
128,Downstream,CHG,0.655749615,0.662568953,0.666825685,Genome
129,Downstream,CHG,0.65054413,0.657979632,0.66265364,Genome
130,Downstream,CHG,0.658468279,0.665290887,0.668452008,Genome
131,Downstream,CHG,0.650255198,0.657142677,0.66026279,Genome
132,Downstream,CHG,0.650287403,0.656909262,0.66182671,Genome
133,Downstream,CHG,0.639964895,0.646450362,0.650521789,Genome
134,Downstream,CHG,0.653760758,0.659898032,0.665003112,Genome
135,Downstream,CHG,0.64654308,0.651277363,0.655681161,Genome
136,Downstream,CHG,0.651486278,0.65734956,0.661073208,Genome
137,Downstream,CHG,0.649967811,0.655731155,0.660258719,Genome
138,Downstream,CHG,0.649188988,0.654976799,0.659993227,Genome
139,Downstream,CHG,0.655170739,0.660563941,0.66507822,Genome
140,Downstream,CHG,0.651951486,0.656386881,0.661876876,Genome
141,Downstream,CHG,0.642754341,0.647759998,0.653982422,Genome
142,Downstream,CHG,0.645074919,0.650386145,0.656400329,Genome
143,Downstream,CHG,0.645008826,0.651756482,0.656712848,Genome
144,Downstream,CHG,0.656597257,0.662004545,0.66664672,Genome
145,Downstream,CHG,0.6617401,0.668716113,0.671212813,Genome
146,Downstream,CHG,0.653829162,0.661002944,0.666061454,Genome
147,Downstream,CHG,0.653274266,0.660484453,0.66361196,Genome
148,Downstream,CHG,0.640849522,0.646799521,0.651401488,Genome
149,Downstream,CHG,0.649658378,0.65506953,0.65919101,Genome
150,Downstream,CHG,0.655270164,0.663411325,0.666856498,Genome
151,Downstream,CHG,0.642401043,0.645873016,0.654011819,Genome
152,Downstream,CHG,0.643632998,0.649550836,0.653791703,Genome
153,Downstream,CHG,0.652214358,0.658689295,0.664526552,Genome
154,Downstream,CHG,0.648490655,0.652700768,0.659804106,Genome
155,Downstream,CHG,0.647017534,0.651430354,0.657932437,Genome
156,Downstream,CHG,0.647293382,0.652102027,0.658022332,Genome
157,Downstream,CHG,0.637609691,0.642894459,0.649698305,Genome
158,Downstream,CHG,0.648336874,0.653959018,0.65864625,Genome
159,Downstream,CHG,0.640675987,0.643988102,0.650532264,Genome
160,Downstream,CHG,0.645531585,0.650572939,0.654374364,Genome
161,Downstream,CHG,0.639679653,0.643911911,0.649526336,Genome
162,Downstream,CHG,0.643600246,0.647598785,0.653212248,Genome
163,Downstream,CHG,0.647921452,0.653243807,0.658855464,Genome
164,Downstream,CHG,0.651959588,0.658347783,0.663138413,Genome
165,Downstream,CHG,0.651667272,0.655944811,0.660446909,Genome
166,Downstream,CHG,0.646131314,0.651215343,0.655394709,Genome
167,Downstream,CHG,0.649864941,0.655048165,0.658860094,Genome
168,Downstream,CHG,0.65002826,0.655890897,0.658745514,Genome
169,Downstream,CHG,0.650292989,0.654828766,0.661159513,Genome
170,Downstream,CHG,0.657088778,0.663397968,0.66660266,Genome
171,Downstream,CHG,0.647093608,0.65375223,0.656504244,Genome
172,Downstream,CHG,0.637191384,0.642156175,0.647465707,Genome
173,Downstream,CHG,0.643351934,0.650794853,0.654649798,Genome
174,Downstream,CHG,0.652315553,0.657121248,0.660954417,Genome
175,Downstream,CHG,0.635643256,0.640631115,0.646153391,Genome
176,Downstream,CHG,0.653833614,0.660801395,0.664446756,Genome
177,Downstream,CHG,0.645752727,0.651770435,0.655659536,Genome
178,Downstream,CHG,0.649845698,0.655095068,0.661256533,Genome
179,Downstream,CHG,0.644964061,0.651392193,0.65484143,Genome
180,Downstream,CHG,0.640264153,0.644894594,0.65086474,Genome
181,Downstream,CHG,0.65064641,0.655746555,0.661518327,Genome
182,Downstream,CHG,0.645610171,0.65035375,0.656557742,Genome
183,Downstream,CHG,0.661104786,0.667518818,0.67038418,Genome
184,Downstream,CHG,0.652934778,0.659604464,0.663456338,Genome
185,Downstream,CHG,0.656669244,0.662410201,0.66697844,Genome
186,Downstream,CHG,0.643468683,0.648227986,0.65311692,Genome
187,Downstream,CHG,0.65595591,0.66172806,0.66607262,Genome
188,Downstream,CHG,0.659876285,0.666001553,0.668678971,Genome
189,Downstream,CHG,0.650107725,0.653693683,0.660130796,Genome
190,Downstream,CHG,0.653754327,0.661118495,0.663687494,Genome
191,Downstream,CHG,0.655193523,0.660109581,0.665838535,Genome
192,Downstream,CHG,0.657589872,0.663160403,0.665804657,Genome
193,Downstream,CHG,0.660399082,0.666349699,0.670002051,Genome
194,Downstream,CHG,0.64590081,0.651809728,0.658527509,Genome
195,Downstream,CHG,0.644722636,0.64853747,0.654685574,Genome
196,Downstream,CHG,0.648940485,0.654995282,0.660761508,Genome
197,Downstream,CHG,0.651396047,0.658138946,0.661261331,Genome
198,Downstream,CHG,0.652592646,0.659048272,0.662823559,Genome
199,Downstream,CHG,0.647906772,0.653513936,0.658068346,Genome
200,Downstream,CHG,0.655885972,0.661590906,0.664228769,Genome
201,Downstream,CHG,0.656239711,0.663022193,0.665601155,Genome
202,Downstream,CHG,0.65907631,0.665871566,0.669341498,Genome
203,Downstream,CHG,0.661462947,0.668811086,0.672187991,Genome
204,Downstream,CHG,0.648408698,0.653693164,0.659516426,Genome
205,Downstream,CHG,0.65789166,0.662891675,0.666832111,Genome
206,Downstream,CHG,0.651880434,0.660185944,0.66226872,Genome
207,Downstream,CHG,0.660040165,0.667699777,0.669871607,Genome
208,Downstream,CHG,0.637787014,0.643330827,0.648751068,Genome
209,Downstream,CHG,0.654740562,0.661455448,0.665642448,Genome
210,Downstream,CHG,0.649045582,0.654296268,0.660130275,Genome
211,Downstream,CHG,0.645501631,0.651831729,0.656648204,Genome
